0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.8125,0.7999999999999999,0.7790697674418604,0.5398230088495575,0.6875,0.6818181818181818,0.6292134831460674,0.390625,0.6875,0.7281553398058251,0.5777777777777778,0.4462809917355372,0.9523809523809523,0.8999999999999999,0.8736842105263157,0.6115702479338843,0.8125,0.8252427184466019,0.7640449438202247,0.4628099173553719,0.6875,0.7378640776699028,0.6136363636363636,0.4297520661157025,0.96875,0.9509803921568627,0.9438202247191011,0.6147540983606558,0.75,0.9126213592233009,0.8764044943820224,0.5819672131147541,0.6875,0.7766990291262135,0.7078651685393258,0.4754098360655738,0.0
0.6875,0.6818181818181818,0.6162790697674418,0.4070796460176991,0.6875,0.6818181818181818,0.5842696629213483,0.421875,0.625,0.7281553398058251,0.5777777777777778,0.4132231404958678,0.8095238095238095,0.7727272727272727,0.7157894736842105,0.4628099173553719,0.6875,0.7378640776699028,0.6067415730337078,0.4297520661157025,0.6875,0.6990291262135921,0.6136363636363636,0.4049586776859504,0.75,0.9019607843137255,0.8764044943820224,0.5819672131147541,0.6875,0.7766990291262135,0.7078651685393258,0.4754098360655738,0.6875,0.6990291262135921,0.6067415730337078,0.4098360655737705,0.0
0.6875,0.6818181818181818,0.5697674418604651,0.4424778761061947,0.625,0.6818181818181818,0.5842696629213483,0.390625,0.6875,0.6504854368932038,0.5777777777777778,0.4132231404958678,0.6825396825396826,0.6909090909090909,0.5684210526315789,0.4297520661157025,0.6875,0.6990291262135921,0.6067415730337078,0.4049586776859504,0.6875,0.6990291262135921,0.6136363636363636,0.4297520661157025,0.6875,0.7647058823529411,0.7078651685393258,0.4754098360655738,0.6875,0.6990291262135921,0.6067415730337078,0.4098360655737705,0.6875,0.6990291262135921,0.6067415730337078,0.4098360655737705,0.0
0.625,0.6818181818181818,0.5697674418604651,0.4070796460176991,0.6875,0.609090909090909,0.5842696629213483,0.390625,0.625,0.6504854368932038,0.5333333333333333,0.38842975206611574,0.6825396825396826,0.6545454545454545,0.5684210526315789,0.4049586776859504,0.6875,0.6990291262135921,0.6067415730337078,0.4297520661157025,0.5625,0.6990291262135921,0.6136363636363636,0.4297520661157025,0.6875,0.6862745098039216,0.6067415730337078,0.4098360655737705,0.6875,0.6990291262135921,0.6067415730337078,0.4098360655737705,0.6875,0.7378640776699028,0.6067415730337078,0.4098360655737705,0.0
0.6875,0.609090909090909,0.5697674418604651,0.4070796460176991,0.625,0.609090909090909,0.5393258426966292,0.3671875,0.625,0.7281553398058251,0.5777777777777778,0.4132231404958678,0.6825396825396826,0.6545454545454545,0.5684210526315789,0.4297520661157025,0.5625,0.6990291262135921,0.6067415730337078,0.4297520661157025,0.5625,0.6990291262135921,0.6590909090909091,0.4628099173553719,0.6875,0.6862745098039216,0.6067415730337078,0.4098360655737705,0.6875,0.7378640776699028,0.6067415730337078,0.4098360655737705,0.609375,0.7766990291262135,0.6629213483146067,0.4754098360655738,0.0
0.625,0.609090909090909,0.5232558139534884,0.3805309734513274,0.625,0.6818181818181818,0.5842696629213483,0.390625,0.5625,0.7281553398058251,0.5777777777777778,0.4132231404958678,0.5555555555555556,0.6545454545454545,0.5684210526315789,0.4297520661157025,0.5625,0.6990291262135921,0.651685393258427,0.4628099173553719,0.5625,0.7378640776699028,0.7727272727272727,0.487603305785124,0.6875,0.7254901960784313,0.6067415730337078,0.4098360655737705,0.609375,0.7766990291262135,0.6629213483146067,0.4754098360655738,0.609375,0.7766990291262135,0.6629213483146067,0.4754098360655738,0.0
0.5625,0.6818181818181818,0.6162790697674418,0.4424778761061947,0.5625,0.6818181818181818,0.6292134831460674,0.453125,0.625,0.6893203883495145,0.6222222222222222,0.4132231404958678,0.6190476190476191,0.7272727272727273,0.7157894736842105,0.487603305785124,0.625,0.8252427184466019,0.7640449438202247,0.487603305785124,0.625,0.7766990291262135,0.7159090909090909,0.4628099173553719,0.609375,0.7647058823529411,0.7078651685393258,0.4754098360655738,0.609375,0.7378640776699028,0.6067415730337078,0.4426229508196722,0.609375,0.7378640776699028,0.6067415730337078,0.4098360655737705,0.0
0.5625,0.6818181818181818,0.6162790697674418,0.47787610619469023,0.625,0.6454545454545454,0.6292134831460674,0.390625,0.5625,0.6504854368932038,0.5777777777777778,0.38842975206611574,0.6190476190476191,0.7727272727272727,0.7157894736842105,0.487603305785124,0.625,0.7766990291262135,0.7078651685393258,0.4628099173553719,0.625,0.6601941747572815,0.5681818181818182,0.4049586776859504,0.609375,0.7254901960784313,0.6067415730337078,0.4426229508196722,0.609375,0.7378640776699028,0.6067415730337078,0.4098360655737705,0.609375,0.6601941747572815,0.5617977528089888,0.4098360655737705,0.0
0.5625,0.5636363636363636,0.5232558139534884,0.3805309734513274,0.5625,0.609090909090909,0.5393258426966292,0.3671875,0.5625,0.6893203883495145,0.5777777777777778,0.3553719008264463,0.6190476190476191,0.6181818181818182,0.5684210526315789,0.371900826446281,0.5625,0.6213592233009708,0.6067415730337078,0.371900826446281,0.5625,0.6601941747572815,0.5681818181818182,0.4049586776859504,0.546875,0.6078431372549019,0.5168539325842696,0.3770491803278689,0.546875,0.6213592233009708,0.5168539325842696,0.3442622950819672,0.609375,0.5825242718446602,0.4831460674157303,0.3442622950819672,0.0
0.5625,0.609090909090909,0.5232558139534884,0.3805309734513274,0.5625,0.6454545454545454,0.5842696629213483,0.3359375,0.5625,0.6504854368932038,0.4444444444444445,0.38842975206611574,0.5555555555555556,0.5818181818181818,0.5684210526315789,0.371900826446281,0.5625,0.6601941747572815,0.5617977528089888,0.4049586776859504,0.5625,0.6213592233009708,0.5681818181818182,0.371900826446281,0.546875,0.6078431372549019,0.5168539325842696,0.3442622950819672,0.609375,0.5825242718446602,0.4831460674157303,0.3442622950819672,0.609375,0.5825242718446602,0.4831460674157303,0.3114754098360656,0.0
